Species,Turbine density,WPD-NoTurbine density,Patagonia,Center SAm,Caribbean
Tomopeas ravus,3,1,0,0,0
Saccopteryx antioquensis,0,0,0,0,0
Lasiurus minor,16,1,0,0,1
Pteronotus paraguanensis,38,1,0,0,1
Rhogeessa genowaysi,0,0,0,0,0
Rhogeessa mira,5,0,0,0,0
Rhogeessa minutilla,3,1,0,0,1
Balantiopteryx io,6,1,0,0,1
Natalus primus,0,1,0,0,1
Lasiurus insularis,5,1,0,0,1
Lonchophylla dekeyseri,0,0,0,0,0
Lonchophylla bokermanni,0,0,0,0,0
Lonchorhina marinkellei,0,0,0,0,0
Lonchorhina fernandezi,0,0,0,0,0
Chilonatalus micropus,8,1,0,0,1
Choeroniscus periosus,0,0,0,0,0
Sturnira nana,0,0,0,0,0
Myotis atacamensis,10,1,0,1,0
Vampyressa melissa,0,0,0,0,0
Myotis findleyi,0,0,0,0,0
Myotis peninsularis,6,1,0,0,0
Myotis planiceps,208,0,0,0,0
Myotis vivesi,0,1,0,0,0
Amorphochilus schnablii,1,1,0,0,0
Mormopterus minutus,11,1,0,0,1
Mormopterus phrudus,0,0,0,0,0
Musonycteris harrisoni,18,0,0,0,0
Molossops aequatorianus,0,1,0,0,0
Perimyotis subflavus,14,1,0,0,1
Leptonycteris nivalis,78,1,0,0,1
Leptonycteris curasoae,3,1,0,0,1
Balantiopteryx infusca,0,0,0,0,0
Platyrrhinus chocoensis,0,1,0,0,0
Lonchorhina orinocensis,0,0,0,0,0
